Unnamed: 0,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
0,Abner,BRA,Defensa,Betis,23,2000,9,5,522,0,0,0,2,0,0.1,0.4,"2,50 mill. €"
1,Abdel Abqar,MAR,Defensa,Alavés,24,1999,11,11,989,0,0,0,3,0,0.2,0.0,"8,00 mill. €"
2,Marcos Acuña,ARG,Defensa,Sevilla,32,1991,7,6,411,0,0,0,2,0,0.1,0.3,"3,50 mill. €"
3,Joseph Aidoo,GHA,Defensa,Celta Vigo,28,1995,6,4,407,0,0,0,0,0,0.1,0.1,"3,00 mill. €"
4,Ilias Akhomach,ESP,Centrocampista,Villarreal,19,2004,10,2,346,0,1,1,2,0,0.1,0.4,"1,20 mill. €"
5,Sergio Akieme,ESP,Defensa,Almería,25,1997,11,11,990,2,0,2,1,0,1.1,1.0,"2,00 mill. €"
6,Paul Akouokou,CIV,Centrocampista,Betis,25,1997,2,0,27,0,0,0,0,0,0.0,0.0,"8,00 mill. €"
7,David Alaba,AUT,Defensa,Real Madrid,31,1992,11,11,940,0,1,1,2,0,0.9,0.7,"40,00 mill. €"
8,Raúl Albiol,ESP,Defensa,Villarreal,38,1985,12,11,976,0,0,0,3,0,0.4,0.3,"7,00 mill. €"
9,Rubén Alcaraz,ESP,Centrocampista,Cádiz,32,1991,12,12,990,0,0,0,6,0,0.4,0.1,"6,00 mill. €"
10,Omar Alderete,PAR,Defensa,Getafe,26,1996,9,6,569,0,1,1,3,0,0.2,0.1,"1,40 mill. €"
11,Iván Alejo,ESP,Centrocampista,Cádiz,28,1995,12,10,748,0,0,0,6,0,0.0,0.3,"3,00 mill. €"
12,Carles Aleñá,ESP,Centrocampista,Getafe,25,1998,13,7,563,1,1,2,4,0,1.0,1.0,"2,00 mill. €"
13,Mohamed Ali Cho,FRA,Delantero,Real Sociedad,19,2004,11,1,249,0,0,0,0,0,0.4,0.1,"2,50 mill. €"
14,Domingos André Ribeiro Almeida,POR,Delantero,Valencia,23,2000,8,6,479,0,1,1,0,0,0.2,0.7,"1,20 mill. €"
15,Marcos Alonso,ESP,Defensa,Barcelona,32,1990,4,2,162,0,0,0,0,0,0.1,0.5,"6,00 mill. €"
16,Adrià Altimira,ESP,Defensa,Villarreal,22,2001,5,4,348,0,0,0,0,0,0.0,0.1,"1,00 mill. €"
17,Sergi Altimira,ESP,Centrocampista,Betis,22,2001,3,1,94,0,0,0,0,0,0.0,0.0,"10,00 mill. €"
18,Gastón Álvarez,URU,Defensa,Getafe,23,2000,12,11,993,1,0,1,3,0,0.3,0.4,"12,00 mill. €"
19,Yeray Álvarez,ESP,Defensa,Athletic Club,28,1995,5,2,185,0,0,0,1,0,0.1,0.1,"20,00 mill. €"
20,Selim Amallah,MAR,Centrocampista,Valencia,27,1996,9,5,374,0,1,1,4,1,0.3,0.2,"1,50 mill. €"
21,Amath,SEN,Delantero,Mallorca,27,1996,10,2,277,0,0,0,1,0,1.5,0.0,"5,00 mill. €"
22,Miguel Ángel Rubio,ESP,Defensa,Granada,25,1998,7,6,559,1,0,1,1,0,0.5,0.0,"3,00 mill. €"
23,Fabrizio Angileri,ARG,Defensa,Getafe,29,1994,4,1,76,0,0,0,1,1,0.0,0.2,"1,50 mill. €"
24,Mauro Arambarri,URU,Centrocampista,Getafe,28,1995,7,3,339,0,0,0,2,0,0.5,0.0,"6,00 mill. €"
25,Julian Araujo,MEX,Defensa,Las Palmas,22,2001,12,6,636,0,0,0,3,0,0.3,0.7,"2,50 mill. €"
26,Ronald Araújo,URU,Defensa,Barcelona,24,1999,8,5,573,1,0,1,0,0,0.6,0.7,"70,00 mill. €"
27,Adu Ares,ESP,Delantero,Athletic Club,22,2001,2,0,25,0,0,0,1,0,0.0,0.0,"4,00 mill. €"
28,Jesús Areso,ESP,Defensa,Osasuna,24,1999,13,9,823,0,1,1,1,0,0.1,1.2,"5,00 mill. €"
29,José Arnaiz,ESP,Delantero,Osasuna,28,1995,9,3,289,1,0,1,0,0,0.6,0.2,"5,00 mill. €"
30,Sergio Arribas,ESP,Centrocampista,Almería,22,2001,14,8,842,5,0,5,0,0,4.3,0.4,"18,00 mill. €"
31,Kepa Arrizabalaga,ESP,PO,Real Madrid,29,1994,10,10,900,0,0,0,1,0,0.0,0.0,"8,00 mill. €"
32,Iago Aspas,ESP,Delantero,Celta Vigo,36,1987,14,13,1081,1,4,5,4,0,5.2,4.6,500 mil €
33,Ezequiel Ávila,ARG,Delantero,Osasuna,29,1994,12,7,638,1,2,3,2,2,1.5,1.6,"2,00 mill. €"
34,César Azpilicueta,ESP,Defensa,Atlético Madrid,34,1989,10,7,665,0,1,1,1,0,0.6,1.8,"5,00 mill. €"
35,Iddrisu Baba,GHA,Centrocampista,Almería,27,1996,14,9,829,0,0,0,3,0,0.5,0.6,"2,50 mill. €"
37,Loïc Bade,FRA,Defensa,Sevilla,23,2000,11,10,886,0,1,1,1,1,0.6,0.2,"20,00 mill. €"
38,Alex Baena,ESP,Centrocampista,Villarreal,22,2001,12,12,879,1,5,6,4,1,1.6,3.1,"12,00 mill. €"
39,Alejandro Balde,ESP,Defensa,Barcelona,20,2003,13,11,992,0,1,1,1,0,0.1,1.0,"1,80 mill. €"
40,Iván Balliu,ALB,Defensa,Rayo Vallecano,31,1992,12,12,1080,0,0,0,1,0,0.1,0.6,200 mil €
41,Jonathan Bamba,CIV,Centrocampista,Celta Vigo,27,1996,14,14,1172,2,1,3,0,0,2.3,2.7,"4,00 mill. €"
42,Léo Baptistão,BRA,Delantero,Almería,31,1992,11,6,502,2,0,2,3,0,1.5,0.1,"50,00 mill. €"
43,Francisco Barbosa,ESP,PO,Betis,24,1999,3,2,225,0,0,0,0,0,0.0,0.0,"15,00 mill. €"
44,Kike Barja,ESP,Delantero,Osasuna,26,1997,10,2,241,0,0,0,2,0,0.1,0.4,"2,50 mill. €"
45,Ander Barrenetxea,ESP,Delantero,Real Sociedad,21,2001,13,11,806,3,1,4,0,0,2.1,1.0,"3,00 mill. €"
46,Pablo Barrios,ESP,Centrocampista,Atlético Madrid,20,2003,9,5,564,0,1,1,2,0,0.2,1.2,"20,00 mill. €"
47,Marc Bartra,ESP,Defensa,Betis,32,1991,3,3,225,0,0,0,1,0,0.2,0.0,-
48,Bebé,CPV,Centrocampista,Rayo Vallecano,33,1990,10,0,88,2,0,2,1,0,1.3,0.2,"20,00 mill. €"
49,Héctor Bellerín,ESP,Defensa,Betis,28,1995,10,10,896,0,0,0,0,0,0.0,0.7,"150,00 mill. €"
50,Jude Bellingham,ENG,Centrocampista,Real Madrid,20,2003,12,12,1021,11,2,13,1,0,5.3,1.6,"8,00 mill. €"
51,Fran Beltrán,ESP,Centrocampista,Celta Vigo,24,1999,14,12,992,0,0,0,2,0,0.3,0.1,500 mil €
52,Carlos Benavídez,URU,Centrocampista,Alavés,25,1998,9,3,328,0,0,0,1,0,0.1,0.0,"10,00 mill. €"
53,Yuri Berchiche,ESP,Defensa,Athletic Club,33,1990,8,7,581,1,1,2,1,0,0.2,0.3,"2,00 mill. €"
54,Álex Berenguer,ESP,Delantero,Athletic Club,28,1995,13,3,426,2,1,3,2,0,2.2,1.5,"3,00 mill. €"
55,Antonio Blanco,ESP,Centrocampista,Alavés,23,2000,12,9,766,0,0,0,0,1,0.6,0.3,"5,00 mill. €"
56,Daley Blind,NED,Defensa,Girona,33,1990,14,13,1172,0,2,2,1,0,0.1,0.4,"15,00 mill. €"
58,Yassine Bounou,MAR,PO,Sevilla,32,1991,1,1,90,0,0,0,0,0,0.0,0.0,"10,00 mill. €"
59,Lucas Boyé,ARG,Delantero,Granada,27,1996,10,10,810,3,2,5,3,1,2.2,0.8,"11,00 mill. €"
60,Juan Brandáriz,ESP,Defensa,Almería,24,1999,12,11,1035,0,1,1,2,0,0.0,1.2,"2,00 mill. €"
61,Claudio Bravo,CHI,PO,Betis,40,1983,7,7,630,0,0,0,0,0,0.0,0.0,"1,00 mill. €"
62,Ben Brereton,CHI,Delantero,Villarreal,24,1999,10,2,227,0,0,0,2,0,0.1,0.3,"10,00 mill. €"
63,Ante Budimir,CRO,Delantero,Osasuna,32,1991,14,11,965,7,1,8,3,0,5.5,0.7,"90,00 mill. €"
64,José Callejón,ESP,Centrocampista,Granada,36,1987,12,6,490,0,1,1,0,0,0.8,0.6,"5,00 mill. €"
65,Eduardo Camavinga,FRA,Centrocampista,Real Madrid,21,2002,13,9,749,0,0,0,3,0,0.3,0.4,"1,20 mill. €"
66,Sergio Camello,ESP,Delantero,Rayo Vallecano,22,2001,11,5,512,0,1,1,2,0,1.2,0.3,"5,00 mill. €"
67,João Cancelo,POR,Defensa,Barcelona,29,1994,11,10,896,2,1,3,2,0,0.7,1.6,"50,00 mill. €"
68,Sergi Canós,ESP,Delantero,Valencia,26,1997,7,3,311,0,0,0,0,0,0.3,0.3,"4,00 mill. €"
69,Étienne Capoue,FRA,Centrocampista,Villarreal,35,1988,14,10,877,0,1,1,3,0,0.7,0.4,"2,00 mill. €"
70,Isaac Carcelen,ESP,Defensa,Cádiz,30,1993,12,11,994,0,0,0,0,0,0.3,0.2,"1,50 mill. €"
71,Marc Cardona,ESP,Delantero,Las Palmas,28,1995,8,4,306,2,0,2,1,0,1.4,0.1,"1,40 mill. €"
72,Sergi Cardona,ESP,Defensa,Las Palmas,24,1999,14,11,1104,0,0,0,5,0,0.4,1.3,"2,00 mill. €"
73,Carmona,ESP,Centrocampista,Getafe,21,2002,10,7,480,1,1,2,3,0,0.3,0.4,450 mil €
74,Yannick Carrasco,BEL,Defensa,Atlético Madrid,30,1993,3,3,221,0,1,1,0,0,0.1,0.2,"20,00 mill. €"
76,William Carvalho,POR,Centrocampista,Betis,31,1992,7,1,200,0,1,1,0,0,0.0,0.1,"9,00 mill. €"
77,Catena,ESP,Defensa,Osasuna,29,1994,13,13,1163,1,1,2,4,1,0.4,0.3,"2,50 mill. €"
78,Dani Ceballos,ESP,Centrocampista,Real Madrid,27,1996,4,0,91,0,0,0,0,0,0.0,0.0,"12,00 mill. €"
79,Álex Centelles,ESP,Defensa,Almería,26,1997,3,3,225,0,0,0,0,0,0.0,0.5,"6,00 mill. €"
80,Franco Cervi,ARG,Defensa,Celta Vigo,29,1994,6,2,171,0,0,0,1,0,0.1,0.6,"1,50 mill. €"
81,Pep Chavarría,ESP,Centrocampista,Rayo Vallecano,25,1998,3,0,22,0,0,0,1,0,0.0,0.0,"1,00 mill. €"
82,Andreas Christensen,DEN,Defensa,Barcelona,27,1996,11,11,810,0,1,1,1,0,0.4,0.5,"40,00 mill. €"
83,Víctor Chust,ESP,Defensa,Cádiz,23,2000,2,2,155,0,0,0,0,0,0.0,0.0,"2,00 mill. €"
84,Pathé Ciss,SEN,Centrocampista,Rayo Vallecano,29,1994,13,7,705,1,0,1,2,0,1.2,0.2,"3,00 mill. €"
85,Silvi Clúa,ESP,Centrocampista,Girona,18,2005,1,0,1,0,0,0,0,0,0.0,0.0,"2,00 mill. €"
86,Saúl Coco,EQG,Defensa,Las Palmas,24,1999,11,8,759,1,0,1,2,0,0.6,0.0,-
87,Santi Comesaña,ESP,Centrocampista,Villarreal,27,1996,9,3,320,0,0,0,4,0,0.2,0.2,"12,00 mill. €"
88,Copete,ESP,Defensa,Mallorca,24,1999,6,6,465,0,0,0,3,0,0.0,0.1,"7,50 mill. €"
89,Jesús Corona,MEX,Centrocampista,Sevilla,30,1993,2,0,17,0,0,0,0,0,0.0,0.0,"30,00 mill. €"
90,Ángel Correa,ARG,Delantero,Atlético Madrid,28,1995,10,2,345,3,1,4,0,0,1.7,1.0,"7,00 mill. €"
91,Thierry Correia,POR,Defensa,Valencia,24,1999,13,13,1019,0,2,2,1,0,0.6,0.3,"8,00 mill. €"
92,Jaume Costa,ESP,Defensa,Mallorca,35,1988,12,6,584,0,0,0,3,0,0.1,0.1,"5,00 mill. €"
93,Samu Costa,POR,Centrocampista,Mallorca,23,2000,13,10,980,1,0,1,2,0,0.7,0.2,"1,20 mill. €"
94,Yan Couto,BRA,Defensa,Girona,21,2002,13,8,766,1,3,4,3,0,0.7,1.2,225 mil €
96,Juan Cruz,ESP,Delantero,Betis,23,2000,4,0,69,0,0,0,0,0,0.1,0.0,"8,00 mill. €"
97,Jorge Cuenca,ESP,Defensa,Villarreal,24,1999,8,7,637,1,0,1,1,0,0.3,0.0,"5,00 mill. €"
98,Eric Curbelo,ESP,Defensa,Las Palmas,29,1994,1,1,90,0,0,0,0,0,0.0,0.0,"40,00 mill. €"
99,Sergi Darder,ESP,Centrocampista,Mallorca,29,1993,11,7,764,0,3,3,1,0,0.2,3.4,"6,00 mill. €"
100,Rodrigo De Paul,ARG,Centrocampista,Atlético Madrid,29,1994,10,7,580,0,2,2,1,0,0.9,1.5,"1,00 mill. €"
101,Mouctar Diakhaby,GUI,Defensa,Valencia,26,1996,8,8,654,1,0,1,4,0,0.7,0.0,"16,00 mill. €"
102,Assane Diao,ESP,Delantero,Betis,18,2005,7,7,510,2,0,2,1,0,1.0,0.4,-
103,Brahim Díaz,ESP,Centrocampista,Real Madrid,24,1999,9,2,185,1,0,1,0,0,0.3,0.3,500 mil €
104,Víctor Díaz,ESP,Defensa,Granada,35,1988,4,2,162,0,0,0,1,0,0.0,0.0,"20,00 mill. €"
105,Famara Diedhiou,SEN,Delantero,Granada,30,1992,7,0,81,0,1,1,0,0,0.5,0.2,"4,00 mill. €"
106,Stole Dimitrievski,MKD,PO,Rayo Vallecano,29,1993,14,14,1260,0,0,0,1,0,0.0,0.0,700 mil €
107,Djené,TOG,Centrocampista,Getafe,31,1991,12,10,859,0,0,0,7,1,0.1,0.1,"4,00 mill. €"
108,Marko Dmitrović,SRB,PO,Sevilla,31,1992,5,5,450,0,0,0,0,0,0.0,0.0,"2,00 mill. €"
109,Carlos Dominguez,ESP,Defensa,Celta Vigo,22,2001,3,3,266,0,0,0,0,0,0.0,0.0,800 mil €
110,Mario Dominguez,ESP,Delantero,Valencia,19,2004,3,0,25,0,0,0,0,0,0.2,0.0,"12,00 mill. €"
111,Carlos Dotor,ESP,Centrocampista,Celta Vigo,22,2001,9,3,327,0,0,0,0,0,0.1,0.1,"3,00 mill. €"
112,Anastasios Douvikas,GRE,Delantero,Celta Vigo,24,1999,10,1,217,2,0,2,0,0,1.2,0.0,200 mil €
113,Artem Dovbyk,UKR,Delantero,Girona,26,1997,13,9,725,7,4,11,0,0,6.6,2.6,"15,00 mill. €"
114,Domingos Duarte,POR,Defensa,Getafe,28,1995,8,7,543,0,0,0,5,1,0.3,0.0,"2,00 mill. €"
115,Rubén Duarte,ESP,Defensa,Alavés,28,1995,12,10,815,1,0,1,4,0,0.2,1.0,"3,00 mill. €"
116,Hugo Duro,ESP,Delantero,Valencia,24,1999,14,13,1133,6,2,8,1,0,6.1,1.0,"20,00 mill. €"
117,Aritz Elustondo,ESP,Defensa,Real Sociedad,29,1994,5,3,274,0,1,1,0,0,0.1,0.3,"5,00 mill. €"
119,Youssef En-Nesyri,MAR,Delantero,Sevilla,26,1997,12,8,805,5,0,5,1,0,3.3,0.0,"3,50 mill. €"
120,Gonzalo Escalante,ARG,Centrocampista,Cádiz,30,1993,11,7,689,0,2,2,0,1,0.4,1.4,"10,00 mill. €"
121,Alfonso Espino,URU,Defensa,Rayo Vallecano,31,1992,14,14,1216,0,0,0,4,0,0.3,0.7,"2,50 mill. €"
122,Bernardo Espinosa,COL,Defensa,Girona,34,1989,2,0,2,0,0,0,0,0,0.0,0.0,"1,50 mill. €"
123,Abdessamad Ezzalzouli,MAR,Delantero,Barcelona,21,2001,2,0,68,0,0,0,0,0,0.2,0.1,"1,50 mill. €"
124,Radamel Falcao,COL,Delantero,Rayo Vallecano,37,1986,7,0,100,1,0,1,1,0,1.7,0.1,"15,00 mill. €"
125,Fali,ESP,Defensa,Cádiz,30,1993,12,12,979,0,0,0,5,0,0.2,0.1,"35,00 mill. €"
126,Ansu Fati,ESP,Centrocampista,Barcelona,21,2002,3,0,50,0,0,0,0,0,0.7,0.0,"2,50 mill. €"
127,Nabil Fekir,FRA,Centrocampista,Betis,30,1993,2,0,19,0,0,0,0,0,0.1,0.0,"3,00 mill. €"
128,Luiz Felipe,ITA,Defensa,Betis,26,1997,4,4,360,0,0,0,1,0,0.1,0.2,"2,00 mill. €"
129,João Félix,POR,Delantero,Barcelona,24,1999,11,9,726,1,2,3,2,0,3.2,1.2,"15,00 mill. €"
130,Kiko Femenía,ESP,Defensa,Villarreal,32,1991,6,1,200,0,0,0,3,0,0.0,0.4,"3,00 mill. €"
131,Aitor Fernández,ESP,PO,Osasuna,32,1991,4,3,281,0,0,0,2,0,0.0,0.0,"15,00 mill. €"
132,Álex Fernández,ESP,Centrocampista,Cádiz,31,1992,9,2,308,0,0,0,1,0,0.0,0.1,"50,00 mill. €"
133,Álvaro Fernández,ESP,Delantero,Granada,20,2003,9,4,344,0,0,0,1,0,0.3,0.3,"7,00 mill. €"
134,Carlos Fernández,ESP,Delantero,Real Sociedad,27,1996,8,5,373,2,1,3,2,0,1.5,0.5,-
135,Raúl Fernández,ESP,PO,Granada,35,1988,3,3,270,0,0,0,0,0,0.0,0.0,"3,00 mill. €"
136,Valery Fernández,ESP,Centrocampista,Girona,24,1999,11,0,194,0,0,0,0,0,0.0,0.0,300 mil €
137,Fernando,ESP,PO,Almería,33,1990,2,2,180,0,0,0,0,0,0.0,0.0,-
138,André Ferreira,POR,PO,Granada,27,1996,11,11,990,0,0,0,1,0,0.0,0.0,"2,50 mill. €"
139,Dimitri Foulquier,FRA,Defensa,Valencia,30,1993,10,1,270,0,0,0,1,0,0.2,0.2,"2,50 mill. €"
140,Juan Foyth,ARG,Defensa,Villarreal,25,1998,10,10,882,1,1,2,1,0,0.4,0.9,"25,00 mill. €"
141,Jorge de Frutos,ESP,Centrocampista,Rayo Vallecano,26,1997,13,2,355,1,0,1,0,0,1.3,0.6,"8,00 mill. €"
142,Matteo Gabbia,ITA,Defensa,Villarreal,24,1999,7,6,477,0,0,0,2,0,0.0,0.1,"5,00 mill. €"
143,Javi Galán,ESP,Defensa,Atlético Madrid,29,1994,5,0,88,0,0,0,1,0,0.0,0.1,"3,00 mill. €"
144,Iñigo Ruiz de Galarreta,ESP,Centrocampista,Athletic Club,30,1993,11,11,916,1,0,1,4,0,0.3,0.6,"10,00 mill. €"
145,Aleix García,ESP,Centrocampista,Girona,26,1997,14,14,1260,3,4,7,1,0,0.9,2.8,"12,00 mill. €"
146,Álvaro García,ESP,Centrocampista,Rayo Vallecano,31,1992,13,13,1111,4,1,5,5,0,2.1,1.8,"6,00 mill. €"
147,Dani García,ESP,Centrocampista,Athletic Club,33,1990,10,4,403,1,0,1,3,0,0.7,0.0,-
148,David García,ESP,Defensa,Osasuna,29,1994,13,13,1170,0,0,0,2,0,0.4,0.0,"15,00 mill. €"
149,Eric García,ESP,Defensa,Barcelona,22,2001,2,0,57,0,0,0,1,0,0.0,0.0,"12,00 mill. €"
150,Fran Garcia,ESP,Defensa,Real Madrid,24,1999,11,7,544,0,3,3,1,0,0.2,1.4,"15,00 mill. €"
151,Francisco Jesús Crespo García,ESP,Delantero,Las Palmas,27,1996,8,5,340,0,0,0,1,0,0.8,0.2,"90,00 mill. €"
152,Gonzalo García,ESP,Delantero,Real Madrid,19,2004,1,0,13,0,0,0,0,0,0.0,0.0,"4,00 mill. €"
153,Raúl García,ESP,Delantero,Athletic Club,37,1986,6,0,88,0,0,0,2,0,0.3,0.0,"3,00 mill. €"
154,Rubén García,ESP,Delantero,Osasuna,30,1993,11,5,419,2,0,2,0,0,0.8,0.8,"1,50 mill. €"
155,Federico Gattoni,ARG,Defensa,Sevilla,24,1999,2,0,10,0,0,0,0,0,0.0,0.0,"2,50 mill. €"
156,Gavi,ESP,Centrocampista,Barcelona,19,2004,12,10,944,1,1,2,5,0,0.9,1.1,-
157,Paulo Gazzaniga,ARG,PO,Girona,31,1992,14,14,1260,0,0,0,2,0,0.0,0.7,"4,00 mill. €"
158,David Gil,ESP,PO,Cádiz,29,1994,1,0,12,0,0,0,0,0,0.0,0.0,-
159,Maxi Gómez,URU,Delantero,Cádiz,27,1996,10,4,408,0,0,0,2,0,0.7,0.0,"4,00 mill. €"
160,Moi Gómez,ESP,Delantero,Osasuna,29,1994,9,8,696,1,0,1,1,0,0.6,0.2,"4,00 mill. €"
